2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 1
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 2
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 3
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 4
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 5
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 6
2024-10-10 15:05:52,403 - INFO - Started a thread. Current number of threads: 7
2024-10-10 15:20:33,709 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:33,716 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:35,697 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:35,700 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:35,721 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:35,725 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:35,763 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:36,608 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:36,610 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:36,616 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:37,021 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:37,189 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:37,908 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:37,918 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:38,475 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
2024-10-10 15:20:42,400 - WARNING - Connection pool is full, discarding connection: localhost. Connection pool size: 1
